scenarioName,scenarioLoop,stepName,stepLoop,correlationId,requestTimeStamp,responseDelayMilliSec,responseTimeStamp,result,method
"Create the user and verify",0,post-user,,"f2bda8d4-f7a7-42c7-ac3b-5a0f1c75a6a1",2021-12-15T13:08:09.533,1174.0,2021-12-15T13:08:10.707,PASSED,POST
"Create the user and verify",0,get-user,,"b9fa4d6a-91c0-4c85-bc13-5eeecc6e712a",2021-12-15T13:08:10.725,305.0,2021-12-15T13:08:11.030,PASSED,GET
